key,prefix,number,document_id,path,source,field,location,context
ABE-13005,ABE,13005,ffcce27b9b28af2a,Documentos en Servidor Atlántica/260422 01 Información Partida/05 Cimentacion Kaxu/Hot salt tank.pdf,extracted,.yeyo-memory/extracted/ffcce27b9b28af2a.txt,page 1,axu Solar One(PTY) LTD (RF)Data SheetHot Salt Tank-kks = AD1WSH10BB001-0328-PLN-CYD-75-62-00141 1:1251:101:2 XXXXXXXXXX ABE-13005-CE-BA!Kaxu Solar OneABEINSA EPC KAXU NºØDescriptionServiceDINASAUnitsConnections tableStandardsRemarksDN Characteristic
ABE-13005,ABE,13005,ffcce27b9b28af2a,Documentos en Servidor Atlántica/260422 01 Información Partida/05 Cimentacion Kaxu/Hot salt tank.pdf,extracted,.yeyo-memory/extracted/ffcce27b9b28af2a.txt,page 10,TY) LTD (RF)Data SheetHot Salt TankRoof structurekks = AD1WSH10BB001-0328-PLN-CYD-75-62-001410 1:1001:501:10 XXXXXXXXXX ABE-13005-CE-BA!Kaxu Solar OneABEINSA EPC KAXUScale=1:100Plant of roof structure 10010500200100030017146Scale=1:20Rafter detail 0
ABE-13005,ABE,13005,ffcce27b9b28af2a,Documentos en Servidor Atlántica/260422 01 Información Partida/05 Cimentacion Kaxu/Hot salt tank.pdf,extracted,.yeyo-memory/extracted/ffcce27b9b28af2a.txt,page 11,TY) LTD (RF)Data SheetHot Salt TankRoof structurekks = AD1WSH10BB001-0328-PLN-CYD-75-62-001411 1:1501:401:10 XXXXXXXXXX ABE-13005-CE-BA!Kaxu Solar OneABEINSA EPC KAXU Ø2500Ø800 Ø2500Ø2000 10Thk. 10 mm.2525 Scale=1:40Side view of roof structure rafte
ABE-13005,ABE,13005,ffcce27b9b28af2a,Documentos en Servidor Atlántica/260422 01 Información Partida/05 Cimentacion Kaxu/Hot salt tank.pdf,extracted,.yeyo-memory/extracted/ffcce27b9b28af2a.txt,page 12,e(PTY) LTD (RF)Data SheetHot Salt TankRoof plateskks = AD1WSH10BB001-0328-PLN-CYD-75-62-001412 1:1001:501:20 XXXXXXXXXX ABE-13005-CE-BA!Kaxu Solar OneABEINSA EPC KAXU270°90°0°180° NWES 0º 90º270º 180º Roof platesThk. 10 mm. Thk. 20 mm.Scale=1:50Annu
ABE-13005,ABE,13005,ffcce27b9b28af2a,Documentos en Servidor Atlántica/260422 01 Información Partida/05 Cimentacion Kaxu/Hot salt tank.pdf,extracted,.yeyo-memory/extracted/ffcce27b9b28af2a.txt,page 13,olar One(PTY) LTD (RF)Data SheetHot Salt TankRoof detailkks = AD1WSH10BB001-0328-PLN-CYD-75-62-001413 1:10-- XXXXXXXXXX ABE-13005-CE-BA!Kaxu Solar OneABEINSA EPC KAXU 200 R18150 INT. 50505097010020101010 Coincident structureStiffener 52 Ut. 6 mm 6 m
ABE-13005,ABE,13005,ffcce27b9b28af2a,Documentos en Servidor Atlántica/260422 01 Información Partida/05 Cimentacion Kaxu/Hot salt tank.pdf,extracted,.yeyo-memory/extracted/ffcce27b9b28af2a.txt,page 14,)Data SheetHot Salt TankBottom tank. Anchor rods.kks = AD1WSH10BB001-0328-PLN-CYD-75-62-001414 1:1501:1001:2 XXXXXXXXXX ABE-13005-CE-BA!Kaxu Solar OneABEINSA EPC KAXUScale=1:2Circular weldings (1-1)25130970808Annular bottom plateBottom plateØ3630010
ABE-13005,ABE,13005,ffcce27b9b28af2a,Documentos en Servidor Atlántica/260422 01 Información Partida/05 Cimentacion Kaxu/Hot salt tank.pdf,extracted,.yeyo-memory/extracted/ffcce27b9b28af2a.txt,page 15,lar One(PTY) LTD (RF)Data SheetHot Salt TankHandrailkks = AD1WSH10BB001-0328-PLN-CYD-75-62-001415 1:1501:10- XXXXXXXXXX ABE-13005-CE-BA!Kaxu Solar OneABEINSA EPC KAXU Scale=1:10View of handrail segment(39 units) Baseboard 120x5Protection 50x5 Ø 1 12
ABE-13005,ABE,13005,ffcce27b9b28af2a,Documentos en Servidor Atlántica/260422 01 Información Partida/05 Cimentacion Kaxu/Hot salt tank.pdf,extracted,.yeyo-memory/extracted/ffcce27b9b28af2a.txt,page 16,One(PTY) LTD (RF)Data SheetHot Salt TankInsulationkks = AD1WSH10BB001-0328-PLN-CYD-75-62-001416 1:1501:101:2 XXXXXXXXXX ABE-13005-CE-BA!Kaxu Solar OneABEINSA EPC KAXU 6000 167333 16719 unitsPlate 40 x 4 lenght 6.000 mm. galvanized Scale=1:100Elevati
ABE-13005,ABE,13005,ffcce27b9b28af2a,Documentos en Servidor Atlántica/260422 01 Información Partida/05 Cimentacion Kaxu/Hot salt tank.pdf,extracted,.yeyo-memory/extracted/ffcce27b9b28af2a.txt,page 17,One(PTY) LTD (RF)Data SheetHot Salt TankInsulationkks = AD1WSH10BB001-0328-PLN-CYD-75-62-0014171:1501:101:2 XXXXXXXXXX ABE-13005-CE-BA!Kaxu Solar OneABEINSA EPC KAXU 600075325 7519 unitsU plate 40x20x1.5 lenght 6.000 mm. galvanized North Scale=1:10
ABE-13005,ABE,13005,ffcce27b9b28af2a,Documentos en Servidor Atlántica/260422 01 Información Partida/05 Cimentacion Kaxu/Hot salt tank.pdf,extracted,.yeyo-memory/extracted/ffcce27b9b28af2a.txt,page 2,"mp holeConnections detail N1A / N1B / N1C / N1D / N1Ekks = AD1WSH10BB0010328-PLN-CYD-75-62-00142 1:401:101:2 XXXXXXXXXX ABE-13005-CE-BA!Kaxu Solar OneABEINSA EPC KAXU 900Scale=1:10Connections detailN1AN1BN1C 664 Ø777,84 int. Ø900,1Ø941,448 drills Ø2"
