status,path,ext,top_dir,size_human,text_chars,chunks,doc_code,revision,card_path,extracted_path
needs_ocr_or_empty,Helios Sole/Helios I/5.10 AT/5.10.1 LAAT - LSAT H I/5.10.1.5 Acreditacion AT.pdf,pdf,Helios Sole,487 KB,0,0,,,.yeyo-memory/cards/30cddc43bc4982de.json,
needs_ocr_or_empty,Helios Sole/Helios I/5.10 AT/5.10.1 LAAT - LSAT H I/5.10.1.6 Contrato Mto AT HI.pdf,pdf,Helios Sole,127 KB,0,0,,,.yeyo-memory/cards/ebcffbfb2313a6cd.json,
needs_ocr_or_empty,Helios Sole/Helios I/5.10 AT/5.10.1 LAAT - LSAT H I/5.10.1.7 Formulario LAAT parcial.pdf,pdf,Helios Sole,347 KB,0,0,,,.yeyo-memory/cards/478339824fd50793.json,
needs_ocr_or_empty,Helios Sole/Helios I/5.10 AT/5.10.1 LAAT - LSAT H I/5.10.1.7 Formulario LAT.pdf,pdf,Helios Sole,371 KB,0,0,,,.yeyo-memory/cards/e00f7e0051dc36f0.json,
needs_ocr_or_empty,Helios Sole/Helios I/5.10 AT/5.10.1 LAAT - LSAT H I/E87-15-3005-SE-021-000001 rev 00 Unifilar general.pdf,pdf,Helios Sole,202 KB,0,0,,rev 00,.yeyo-memory/cards/8473ff7f9ecd9502.json,
needs_ocr_or_empty,Helios Sole/Helios I/5.10 AT/5.10.1 LAAT - LSAT H I/E87-15-3005-SE-022-000002 rev 01 Línea L1 Helios I.pdf,pdf,Helios Sole,2.5 MB,0,0,,rev 01,.yeyo-memory/cards/b394a9f58847cd2b.json,
needs_ocr_or_empty,Helios Sole/Helios I/5.10 AT/5.10.1 LAAT - LSAT H I/E87-15-3005-SE-022-000003 rev 01 Línea L2 Helios II.pdf,pdf,Helios Sole,2.5 MB,0,0,,rev 01,.yeyo-memory/cards/ca69169bc03a7a80.json,
needs_ocr_or_empty,Helios Sole/Helios I/5.10 AT/5.10.1 LAAT - LSAT H I/E87-15-3005-SE-022-000004 rev 01 Línea L3 Arenas de San Juan.pdf,pdf,Helios Sole,3.2 MB,0,0,,rev 01,.yeyo-memory/cards/a759157d5bfcd8af.json,
needs_ocr_or_empty,Helios Sole/Helios I/5.10 AT/5.10.2 SE Colectora/2046-PLN-INA-23-22-0001 Principal y redundante Helios I.pdf,pdf,Helios Sole,178 KB,0,0,2046-PLN-INA-23-22-0001,,.yeyo-memory/cards/5c5c1539a7a0cdca.json,
needs_ocr_or_empty,Helios Sole/Helios I/5.10 AT/5.10.2 SE Colectora/2046-PLN-INA-23-22-0002 Principal y redundante Helios II.pdf,pdf,Helios Sole,184 KB,0,0,2046-PLN-INA-23-22-0002,,.yeyo-memory/cards/ef68d9bde9c2ba93.json,
needs_ocr_or_empty,Helios Sole/Helios I/5.10 AT/5.10.2 SE Colectora/2046-PLN-INA-23-22-0003 Principal y comprobante.pdf,pdf,Helios Sole,189 KB,0,0,2046-PLN-INA-23-22-0003,,.yeyo-memory/cards/1e0a0e3d7c837347.json,
needs_ocr_or_empty,Helios Sole/Helios I/5.10 AT/5.10.2 SE Colectora/2046-PLN-INA-23-22-0101 rev 00 Unifilar general.pdf,pdf,Helios Sole,202 KB,0,0,2046-PLN-INA-23-22-0101,rev 00,.yeyo-memory/cards/af97b2deafab4850.json,
needs_ocr_or_empty,Helios Sole/Helios I/5.10 AT/5.10.2 SE Colectora/2046-PLN-INA-23-22-0101 rev 01 Unifilar general.pdf,pdf,Helios Sole,292 KB,0,0,2046-PLN-INA-23-22-0101,rev 01,.yeyo-memory/cards/f5c4390366da354f.json,
