[sheet Lista de instrumentos]
Rev | TAG | Instrument type | Protect | Service | P&ID | Equipment / Line | Notes
00 | 10WSH10CP103 | Pressure transmitter | IP65 | Nitrogen | 1950801-PID-3030-00 Sh 6 | 2"AAA3
00 | 10WSH10CL101 | Level transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 6
00 | 10WSH10CL102 | Level transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 6
00 | 10WSH10CL103 | Level transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 6
00 | 10WSH10CT001 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 6 | G1
00 | 10WSH10CT002 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 6 | G1
00 | 10WSH10CT003 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 6 | G1
00 | 10WSH10CT004 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 6 | G1
00 | 10WSH10CT005 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 6 | G2
00 | 10WSH10CT006 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 6 | G2
00 | 10WSH10CT007 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 6 | G2
00 | 10WSH10CT008 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 6 | G2
00 | 10WSH10CT009 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 6 | G3
00 | 10WSH10CT010 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 6 | G3
00 | 10WSH10CT011 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 6 | G3
00 | 10WSH10CT012 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 6 | G3
00 | 10WSH10CT013 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 6 | G4
00 | 10WSH10CT014 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 6 | G4
00 | 10WSH10CT015 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 6 | G4
00 | 10WSH10CT016 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 6 | G4
00 | 10WSH10CT017 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 6 | G4
00 | 10WSH10CT018 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 6 | G5
00 | 10WSH10CT019 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 6 | G5
00 | 10WSH10CT020 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 6 | G5
