path,size_bytes,size_human,ext,depth,mtime_iso
Helios Sole/Helios I/5.10 AT/Líneas 15 kV/Cambio titularidad/Adjuntos al cambio de titularidad.rar,20214068,19 MB,rar,5,2026-06-08T16:15:00.000Z
Helios Sole/Helios I/5.10 AT/Líneas 15 kV/Cambio titularidad/Autorización líneas.doc,33792,33 KB,doc,5,2026-06-08T16:15:00.000Z
Helios Sole/Helios I/5.10 AT/Líneas 15 kV/Cambio titularidad/Contrato cesión de titularidad de líneas eléctricas.doc,45056,44 KB,doc,5,2026-06-08T16:15:00.000Z
Helios Sole/Helios I/5.10 AT/Líneas 15 kV/Cambio titularidad/Línea 15 kV.pdf,13374902,13 MB,pdf,5,2026-06-08T16:15:00.000Z
Helios Sole/Helios I/5.10 AT/Líneas 15 kV/Cambio titularidad/Solicitud Industria.pdf,123602,121 KB,pdf,5,2026-06-08T16:15:00.000Z
Helios Sole/Helios I/5.10 AT/Líneas 15 kV/Línea 15 kV_versión final.bak,204640,200 KB,bak,4,2026-06-08T16:15:00.000Z
Helios Sole/Helios I/5.10 AT/Líneas 15 kV/Línea 15 kV_versión final.dwg,205440,201 KB,dwg,4,2026-06-08T16:15:00.000Z
Helios Sole/Helios I/5.10 AT/Líneas 15 kV/Línea 15 kV.xls,35328,35 KB,xls,4,2026-06-08T16:15:00.000Z
Helios Sole/Helios I/5.10 AT/Líneas 15 kV/Línea Contrato Masa.dwg,3584544,3.4 MB,dwg,4,2026-06-08T16:15:00.000Z
Helios Sole/Helios I/5.10 AT/Líneas 15 kV/Lineas 15 kV.dwg,13352704,13 MB,dwg,4,2026-06-08T16:15:00.000Z
Helios Sole/Helios I/5.10 AT/Líneas 15 kV/Lineas 15 kV.pdf,248007,242 KB,pdf,4,2026-06-08T16:15:00.000Z
Helios Sole/Helios I/5.10 AT/Líneas 15 kV/Plano 15 kV.pdf,13374780,13 MB,pdf,4,2026-06-08T16:15:00.000Z
Helios Sole/Helios I/5.10 AT/Líneas 15 kV/plot.log,645,645 B,log,4,2026-06-08T16:15:00.000Z
Helios Sole/Helios I/5.10 AT/Líneas 15 kV/Proyectos 15kV Masa/Proyecto ampliación A.pdf,2690125,2.6 MB,pdf,5,2026-06-08T16:15:00.000Z
Helios Sole/Helios I/5.10 AT/Líneas 15 kV/Proyectos 15kV Masa/Proyecto ampliación B.pdf,2981993,2.8 MB,pdf,5,2026-06-08T16:15:00.000Z
Helios Sole/Helios I/5.10 AT/Líneas 15 kV/Proyectos 15kV Masa/Proyecto ampliación C.pdf,2087170,2.0 MB,pdf,5,2026-06-08T16:15:00.000Z
Helios Sole/Helios I/5.10 AT/Nueva carpeta comprimida (en zip).zip,22,22 B,zip,3,2026-06-08T16:14:00.000Z
